[LOG] ➡️ Chosen Word: 'Rajah' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
Generated Text:
I’m just trying to stay alive. Be attribute to yourself I could I amlieve I feel like to. Advance on every reason to divide among ourselves with the clock be seventeen. The instinct be stand there himself to advise you and so be that they ’re not be. Upon he is he says he turn his father have be thus I but I this reason that.
Loaded existing model.
[LOG] ➡️ Chosen Word: 'palace' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'stand' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'near' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'body' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'they' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'when' | Target POS: N/A | Chosen POS: SCONJ
[LOG] ➡️ Chosen Word: 'she' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'it' | Target POS: N/A | Chosen POS: PRON
[SKIP] Not a complete thought: And opulent palace stand near the body of they when she it.
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'sure' | Target POS: N/A | Chosen POS: INTJ
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'Camberwell' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'enclosure' | Target POS: N/A | Chosen POS: NOUN
[SKIP] Not a complete thought: Move to a sure to Camberwell and the enclosure.
[LOG] ➡️ Chosen Word: 'with' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'merely' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'point' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'extreme' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'importance' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'furniture' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'remnant' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
Attempt 3: Generated incoherent sentence: Share story with he has merely to the point of extreme importance of furniture remnant of.
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'bullet' | Target POS: N/A | Chosen POS: NOUN
Attempt 4: Generated incoherent sentence: The handwriting of bullet.
[LOG] ➡️ Chosen Word: 'plan' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'begin' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'opinion' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: '

' | Target POS: N/A | Chosen POS: SPACE
[LOG] ➡️ Chosen Word: 'yet' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'when' | Target POS: N/A | Chosen POS: SCONJ
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[SKIP] Not a complete thought: About a plan begin to the opinion yet when he I.
Max attempts reached for generating sentence 2. Adding the incoherent sentence.
Loaded existing model.
[LOG] ➡️ Chosen Word: 'do' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'so' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'long' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'we' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'always' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'can' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'use' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'ladder' | Target POS: N/A | Chosen POS: NOUN
Attempt 1: Generated incoherent sentence: Interest and a ladder.
[LOG] ➡️ Chosen Word: 'his' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'sole' | Target POS: N/A | Chosen POS: NOUN
Attempt 2: Generated incoherent sentence: To explain his sole.
[LOG] ➡️ Chosen Word: 'back' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'his' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'own' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'hand' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'it' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'scarcely' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'know' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'not' | Target POS: N/A | Chosen POS: PART
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'become' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'man' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'house' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'fate' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'night' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'detect' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'similar' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'startle' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'gravity' | Target POS: N/A | Chosen POS: NOUN
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'indentation' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'their' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'lodging' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'in' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'original' | Target POS: N/A | Chosen POS: ADJ
Attempt 1: Generated incoherent sentence: A deep indentation of their lodging in the original.
[LOG] ➡️ Chosen Word: 'George' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'Rhodes' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'upon' | Target POS: N/A | Chosen POS: SCONJ
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'building' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'force' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'step' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'into' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'my' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'chest' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'we' | Target POS: N/A | Chosen POS: PRON
[SKIP] Not a complete thought: Be Mr. George Rhodes and be upon the building and force of step into my chest and we.
[LOG] ➡️ Chosen Word: 'cry' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'chance' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'then' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'none' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'not' | Target POS: N/A | Chosen POS: PART
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'what' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'merely' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
Generated Text:
I’m just trying to stay alive. You ’ll do so long we always have I can use. Who come back and his own hand it is scarcely know not have become a man the house. Forward to the fate of the night be detect a similar to you have startle the gravity of. Here he cry the chance I then he is none you have not be what is merely that.
Loaded existing model.
[LOG] ➡️ Chosen Word: 'least' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'will' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'there' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'sure' | Target POS: N/A | Chosen POS: INTJ
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'think' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'few' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'person' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'wish' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'they' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'home' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'with' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'something' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'out' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'will' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'just' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'mention' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'finally' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'arrange' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'some' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'measure' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'little' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'family' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'gather' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'evidence' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'here' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'stretch' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'forth' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'open' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'give' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'think' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'dart' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'through' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'shutter' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'blackguard' | Target POS: N/A | Chosen POS: NOUN
[SKIP] Not a complete thought: The poison dart through the shutter of blackguard.
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: '

' | Target POS: N/A | Chosen POS: SPACE
[LOG] ➡️ Chosen Word: 'Costin' | Target POS: N/A | Chosen POS: NOUN
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: ''s' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'countenance' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'all' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'night' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'this' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'may' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'say' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'nothing' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'to' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'skin' | Target POS: N/A | Chosen POS: NOUN
Generated Text:
I didn't see you there. Up at least you will be there sure I think a few person wish you. Not imagine they home with something out I will you just mention and finally have arrange some measure. Difficulty in a little family gather evidence of here to stretch forth the open and give you think. From there is Costin 's countenance of all night this may say nothing to the skin.
Loaded existing model.
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'think' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'it' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'none' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'help' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'but' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'none' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'darkness' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'peculiar' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'voice' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'steady' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'very' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'much' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'from' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'his' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'study' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'small' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'peculiarly' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'Holmes' | Target POS: N/A | Chosen POS: PROPN
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: 'point' | Target POS: N/A | Chosen POS: VERB
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: 'not' | Target POS: N/A | Chosen POS: PART
[LOG] ➡️ Chosen Word: 'Mr.' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'Vandeleur' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'reply' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'Lady' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'Vandeleur' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'reply' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'Vandeleur' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'reply' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'Dupin' | Target POS: N/A | Chosen POS: PROPN
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'Jackson' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'reply' | Target POS: N/A | Chosen POS: NOUN
Attempt 1: Generated incoherent sentence: Sir say Holmes point not Mr. Vandeleur reply Lady Vandeleur reply Vandeleur reply Dupin I Jackson reply.
[LOG] ➡️ Chosen Word: 'this' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'time' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'answer' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'reply' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'feel' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'hear' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'she' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'do' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'do' | Target POS: N/A | Chosen POS: VERB
Generated Text:
I didn't see you there. Outskirt of that he think he it is none. Can also help but none of darkness the peculiar voice steady. Feel that is a very much that from his study of the small a peculiarly. I with this time he I answer I reply feel I have hear she I do you do.
Loaded existing model.
[LOG] ➡️ Chosen Word: 'head' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'man' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'one' | Target POS: N/A | Chosen POS: NUM
[SKIP] Not a complete thought: For his head be a man the one.
[LOG] ➡️ Chosen Word: 'you' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'know' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'he' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'have' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'ever' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'know' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'nothing' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'see' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'presence' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'of' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'his' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'brother' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'and' | Target POS: N/A | Chosen POS: CCONJ
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'promise' | Target POS: N/A | Chosen POS: NOUN
[SKIP] Not a complete thought: And only the presence of his brother and I promise.
[LOG] ➡️ Chosen Word: 'booth' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'in' | Target POS: N/A | Chosen POS: ADP
[LOG] ➡️ Chosen Word: 'question' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'that' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'this' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'not' | Target POS: N/A | Chosen POS: PART
[LOG] ➡️ Chosen Word: 'return' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'home' | Target POS: N/A | Chosen POS: NOUN
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: 'a' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'couch' | Target POS: N/A | Chosen POS: NOUN
[WARN] Combined scores zero. Fallback to uniform distribution.
[LOG] ➡️ Chosen Word: 'I' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'call' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'be' | Target POS: N/A | Chosen POS: AUX
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'second' | Target POS: N/A | Chosen POS: ADJ
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'garden' | Target POS: N/A | Chosen POS: NOUN
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'street' | Target POS: N/A | Chosen POS: PROPN
[LOG] ➡️ Chosen Word: 'the' | Target POS: N/A | Chosen POS: PRON
[LOG] ➡️ Chosen Word: 'first' | Target POS: N/A | Chosen POS: ADV
[LOG] ➡️ Chosen Word: 'place' | Target POS: N/A | Chosen POS: VERB
[LOG] ➡️ Chosen Word: 'where' | Target POS: N/A | Chosen POS: SCONJ
